names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,crimes
"Kaunas, Eiguliai, S. Žukausko g., 2 rooms flat for rent",400 €,"(8,2 €/m²)",49 m²,2,1980,Block house,Fully equipped,Central,"59,29 €/month~ 1,21 €/m²","['2024-10', '0.43', '2024-11', '1.31', '2024-12', '1.67', '2025-01', '1.51', '2025-02', '1.84', '2025-03', '1.25', '2025-04', '0.48', 'august', '15', 'september', '19', 'october', '15', 'november', '17', 'december', '16', 'january', '8', 'february', '9', 'march', '18', 'april', '20', 'may', '19', 'june', '16', 'july', '33', 'august', '39', 'september', '20', 'october', '15', 'november', '14', 'december', '14', 'january', '24', 'february', '14', 'march', '9', 'april', '6', 'may', '13', 'june', '5', 'july', '5']"
"Kaunas, Žaliakalnis, Voveraičių g., Room rent",310 €,"(5,2 €/m²)",60 m²,1,,Brick,Fully equipped,Gas,,"['august', '4', 'september', '2', 'october', '2', 'november', '2', 'december', '0', 'january', '1', 'february', '5', 'march', '1', 'april', '4', 'may', '2', 'june', '1', 'july', '7', 'august', '2', 'september', '0', 'october', '7', 'november', '5', 'december', '4', 'january', '11', 'february', '4', 'march', '1', 'april', '5', 'may', '4', 'june', '6', 'july', '1']"
"Kaunas, Aukštieji Šančiai, A. Juozapavičiaus pr., 2 rooms flat for rent",600 €,"(12,0 €/m²)",50 m²,2,2010,Brick,Fully equipped,Geothermal,,"['august', '6', 'september', '10', 'october', '8', 'november', '17', 'december', '16', 'january', '12', 'february', '20', 'march', '1', 'april', '15', 'may', '6', 'june', '11', 'july', '8', 'august', '16', 'september', '7', 'october', '3', 'november', '4', 'december', '12', 'january', '2', 'february', '4', 'march', '12', 'april', '8', 'may', '12', 'june', '1', 'july', '9']"
"Kaunas, Senamiestis, D. Poškos g., 1 room flat for rent",650 €,"(16,7 €/m²)",39 m²,1,1990,Brick,Fully equipped,Electric,"31,98 €/month~ 0,82 €/m²","['2024-10', '0.22', '2024-11', '0.82', '2024-12', '1.09', '2025-01', '1.18', '2025-02', '1.34', '2025-03', '0.73', '2025-04', '0.34', 'august', '3', 'september', '16', 'october', '10', 'november', '9', 'december', '17', 'january', '9', 'february', '14', 'march', '21', 'april', '25', 'may', '46', 'june', '34', 'july', '15', 'august', '16', 'september', '29', 'october', '25', 'november', '26', 'december', '4', 'january', '17', 'february', '9', 'march', '9', 'april', '23', 'may', '18', 'june', '9', 'july', '8']"
"Kaunas, Dainava, Chemijos g., 1 room flat for rent",310 €,"(15,5 €/m²)",20 m²,1,1980,Brick,Fully equipped,Central,"23,40 €/month~ 1,17 €/m²","['2024-10', '0.37', '2024-11', '0.82', '2024-12', '1.61', '2025-01', '1.52', '2025-02', '1.75', '2025-03', '1.53', '2025-04', '0.57', 'august', '30', 'september', '27', 'october', '19', 'november', '13', 'december', '15', 'january', '11', 'february', '14', 'march', '12', 'april', '7', 'may', '15', 'june', '10', 'july', '9', 'august', '31', 'september', '24', 'october', '12', 'november', '6', 'december', '14', 'january', '5', 'february', '19', 'march', '10', 'april', '13', 'may', '24', 'june', '19', 'july', '5']"
"Kaunas, Dainava, Pramonės pr., 3 rooms flat for rent",550 €,"(8,2 €/m²)",67 m²,3,1968,Block house,Fully equipped,Central,"53,60 €/month~ 0,80 €/m²","['2024-10', '0.25', '2024-11', '0.82', '2024-12', '1.09', '2025-01', '1.13', '2025-02', '1.32', '2025-03', '0.74', '2025-04', '0.27', 'august', '11', 'september', '14', 'october', '7', 'november', '10', 'december', '22', 'january', '4', 'february', '8', 'march', '9', 'april', '8', 'may', '9', 'june', '14', 'july', '9', 'august', '9', 'september', '14', 'october', '17', 'november', '7', 'december', '9', 'january', '8', 'february', '8', 'march', '6', 'april', '15', 'may', '6', 'june', '9', 'july', '9']"
"Kaunas, Žaliakalnis, Totorių g., 3 rooms flat for rent",700 €,"(9,0 €/m²)",78 m²,3,,Brick,Fully equipped,Electric,"46,80 €/month~ 0,60 €/m²","['2024-06', '0.16', '2024-07', '0.19', '2024-08', '0.2', '2024-09', '0.18', '2024-10', '0.47', '2024-11', '0.96', '2024-12', '1.25', '2025-01', '1.3', '2025-02', '1.49', '2025-03', '0.95', '2025-04', '0.45', '2025-05', '0.38', '2025-06', '0.2', '2025-07', '0.17', 'august', '4', 'september', '8', 'october', '4', 'november', '13', 'december', '14', 'january', '4', 'february', '4', 'march', '8', 'april', '5', 'may', '16', 'june', '4', 'july', '17', 'august', '10', 'september', '15', 'october', '5', 'november', '14', 'december', '5', 'january', '2', 'february', '1', 'march', '6', 'april', '10', 'may', '11', 'june', '3', 'july', '9']"
"Kaunas, Eiguliai, Ukmergės g., 2 rooms flat for rent",395 €,"(7,9 €/m²)",50 m²,2,1980,Block house,Fully equipped,Central,"60,50 €/month~ 1,21 €/m²","['2024-10', '0.6', '2024-11', '1.05', '2024-12', '1.59', '2025-01', '1.71', '2025-02', '1.78', '2025-03', '1.33', '2025-04', '0.4', 'august', '29', 'september', '24', 'october', '8', 'november', '33', 'december', '16', 'january', '6', 'february', '12', 'march', '14', 'april', '17', 'may', '16', 'june', '6', 'july', '18', 'august', '13', 'september', '12', 'october', '18', 'november', '15', 'december', '7', 'january', '12', 'february', '13', 'march', '16', 'april', '7', 'may', '17', 'june', '6', 'july', '3']"
"Kaunas, Petrašiūnai, R. Kalantos g., 2 rooms flat for rent",300 €,"(7,7 €/m²)",39 m²,2,1980,Brick,Fully equipped,Central,"40,56 €/month~ 1,04 €/m²","['2024-10', '0.36', '2024-11', '1.04', '2024-12', '1.37', '2025-01', '1.34', '2025-02', '1.53', '2025-03', '1.15', '2025-04', '0.5', 'august', '2', 'september', '6', 'october', '14', 'november', '5', 'december', '14', 'january', '7', 'february', '8', 'march', '8', 'april', '20', 'may', '7', 'june', '8', 'july', '30', 'august', '12', 'september', '13', 'october', '7', 'november', '11', 'december', '2', 'january', '5', 'february', '5', 'march', '7', 'april', '10', 'may', '4', 'june', '5', 'july', '7']"
"Kaunas, Centras, Karaliaus Mindaugo pr., 1 room flat for rent",700 €,"(24,1 €/m²)","29,07 m²",1,1956,Brick,Fully equipped,Gas,,"['august', '11', 'september', '12', 'october', '8', 'november', '10', 'december', '21', 'january', '8', 'february', '18', 'march', '13', 'april', '11', 'may', '14', 'june', '13', 'july', '16', 'august', '9', 'september', '11', 'october', '21', 'november', '22', 'december', '5', 'january', '4', 'february', '14', 'march', '14', 'april', '11', 'may', '9', 'june', '7', 'july', '9']"
"Kaunas, Centras, K. Donelaičio g., 1 room flat for rent",455 €,"(11,3 €/m²)","40,2 m²",1,1973,Brick,Fully equipped,"Central, electric, central thermostat","69,55 €/month~ 1,73 €/m²","['2024-10', '0.87', '2024-11', '1.68', '2024-12', '2.14', '2025-01', '2.25', '2025-02', '2.42', '2025-03', '1.9', '2025-04', '0.82', 'august', '48', 'september', '47', 'october', '32', 'november', '11', 'december', '21', 'january', '18', 'february', '21', 'march', '22', 'april', '36', 'may', '46', 'june', '46', 'july', '24', 'august', '22', 'september', '43', 'october', '18', 'november', '25', 'december', '21', 'january', '32', 'february', '24', 'march', '28', 'april', '27', 'may', '22', 'june', '18', 'july', '26']"
"Kaunas, Gričiupis, Pašilės g., 2 rooms flat for rent",600 €,"(12,5 €/m²)",48 m²,2,1966,Block house,Fully equipped,Central,"46,56 €/month~ 0,97 €/m²","['2024-10', '0.36', '2024-11', '1.04', '2024-12', '1.29', '2025-01', '1.22', '2025-02', '1.4', '2025-03', '1.04', '2025-04', '0.45', 'august', '11', 'september', '14', 'october', '40', 'november', '19', 'december', '14', 'january', '15', 'february', '12', 'march', '13', 'april', '11', 'may', '10', 'june', '13', 'july', '6', 'august', '39', 'september', '17', 'october', '26', 'november', '17', 'december', '16', 'january', '12', 'february', '10', 'march', '7', 'april', '17', 'may', '27', 'june', '14', 'july', '8']"
"Kaunas, Žaliakalnis, Perkūno al., 2 rooms flat for rent",599 €,"(17,1 €/m²)",35 m²,2,1939,Brick,Fully equipped,Aerothermal,,"['august', '1', 'september', '2', 'october', '0', 'november', '0', 'december', '7', 'january', '1', 'february', '1', 'march', '4', 'april', '1', 'may', '2', 'june', '2', 'july', '1', 'august', '5', 'september', '4', 'october', '7', 'november', '1', 'december', '2', 'january', '1', 'february', '0', 'march', '0', 'april', '2', 'may', '4', 'june', '2', 'july', '3']"
"Kaunas, Panemunė, A. Smetonos al., 2 rooms flat for rent",400 €,"(9,1 €/m²)",44 m²,2,1966,Brick,Fully equipped,Central,"55,88 €/month~ 1,27 €/m²","['2024-10', '0.43', '2024-11', '1.42', '2024-12', '1.75', '2025-01', '1.81', '2025-02', '1.84', '2025-03', '1.2', '2025-04', '0.42', 'august', '3', 'september', '7', 'october', '3', 'november', '3', 'december', '6', 'january', '1', 'february', '2', 'march', '5', 'april', '2', 'may', '3', 'june', '6', 'july', '6', 'august', '2', 'september', '3', 'october', '3', 'november', '4', 'december', '7', 'january', '0', 'february', '2', 'march', '0', 'april', '5', 'may', '1', 'june', '2', 'july', '0']"
