names,total_price,price_per_meter,area,rooms_number,build_year,building_type,equipment,heating_system,avg_heating_price,Avg,Average_crimes,District
"Slėnio g., 2 rooms flat for rent",450.0,9.0,49.89,2,2004.0,Brick,Fully equipped,Central thermostat,nan,23,3.4, Gričiupis
"M. Daukšos g., 4 rooms flat for rent",2000.0,19.0,105.0,4,,Brick,Fully equipped,Gas,nan,23,15.4, Senamiestis
"A. Baranausko g., 2 rooms flat for rent",450.0,10.5,43.0,2,1990.0,Brick,Fully equipped,Central,57.62,23,7.8, Gričiupis
"Ašmenos 1-oji g., 2 rooms flat for rent",650.0,12.0,54.27,2,2007.0,Brick,Fully equipped,Central thermostat,22.25,23,1.6, Aukštieji Šančiai
"Neries krant., 3 rooms flat for rent",600.0,10.5,57.0,3,1970.0,Block house,Fully equipped,Central,nan,23,10.9, Vilijampolė
"Baltų pr., 4 rooms flat for rent",700.0,8.8,80.0,4,1989.0,Block house,Fully equipped,Central,88.00,23,11.0, Šilainiai
"J. Žemgulio g., 3 rooms flat for rent",800.0,15.1,52.84,3,2016.0,Block house,Fully equipped,Electric,22.72,23,14.6, Žaliakalnis
"V. Krėvės pr., 1 room flat for rent",400.0,12.1,33.0,1,1990.0,Block house,Fully equipped,Central,30.36,23,15.3, Dainava
"Sukilėlių pr., 2 rooms flat for rent",440.0,11.6,38.0,2,1986.0,Block house,Fully equipped,Central,44.08,23,11.8, Eiguliai
"Kęstučio g., 2 rooms flat for rent",750.0,16.7,45.0,2,2022.0,Brick,Fully equipped,Central thermostat,40.50,23,18.4, Centras
"A. Stulginskio g., 2 rooms flat for rent",400.0,7.8,51.0,2,1982.0,Brick,Fully equipped,Central,56.10,23,12.3, Vilijampolė
"Prancūzų g., 2 rooms flat for rent",550.0,10.2,54.0,2,1980.0,Brick,Fully equipped,Central,55.62,23,9.6, Aukštieji Šančiai
"Dusetų g., Room rent",240.0,13.3,18.0,1,1976.0,Brick,Fully equipped,Gas,nan,23,7.7, Žaliakalnis
"Kranto 9-oji g., 1 room flat for rent",260.0,5.2,50.0,1,1995.0,Wooden house,Fully equipped,Gas,nan,23,2.7, Žemieji Šančiai
"V. Krėvės pr., 2 rooms flat for rent",320.0,6.8,47.0,2,1975.0,Block house,Fully equipped,Central thermostat,nan,23,20.5, Dainava
"Garažų g., 1 room flat for rent",420.0,15.0,28.0,1,2021.0,Brick,Fully equipped,Other,12.88,23,7.4, Dainava
"Sukilėlių pr., Room rent",250.0,3.8,65.0,1,1978.0,Brick,Fully equipped,Central,80.60,23,8.3, Eiguliai
"Karaliaus Mindaugo pr., 3 rooms flat for rent",850.0,17.3,49.0,3,,Brick,Fully equipped,Electric,nan,23,12.3, Centras
"Kęstučio g., 2 rooms flat for rent",720.0,21.2,34.0,2,1925.0,Brick,Fully equipped,Central,52.36,23,26.2, Centras
"Prancūzų g., 3 rooms flat for rent",520.0,7.8,67.0,3,1980.0,Brick,Fully equipped,Central,54.27,23,3.1, Aukštieji Šančiai
"Pramonės pr., 2 rooms flat for rent",498.0,11.3,44.0,2,1980.0,Block house,Fully equipped,Central,44.44,23,13.3, Dainava
"Raudondvario pl., 2 rooms flat for rent",550.0,16.7,33.0,2,2022.0,Brick,Fully equipped,"Electric, aerothermal",nan,23,3.4, Vilijampolė
"Kumelių g., 2 rooms flat for rent",550.0,12.2,45.0,2,2014.0,Brick,Fully equipped,Other,51.30,23,15.6, Senamiestis
"Brastos g., 2 rooms flat for rent",800.0,19.0,42.0,2,2020.0,Brick,Fully equipped,Central thermostat,18.48,23,1.4, Vilijampolė
"Ryšių g., 3 rooms flat for rent",675.0,10.4,65.0,3,1976.0,Brick,Fully equipped,Central,72.80,23,11.7, Gričiupis
"Plento g., 1 room flat for rent",250.0,7.6,33.0,1,1978.0,Brick,Fully equipped,Central,31.02,23,1.6, Panemunė
"Brastos g., 2 rooms flat for rent",950.0,15.8,60.0,2,2018.0,Brick,Fully equipped,Central thermostat,20.40,23,2.0, Vilijampolė
"Europos pr., 2 rooms flat for rent",700.0,14.9,47.0,2,2023.0,Monolithic,Fully equipped,Central thermostat,17.39,23,3.6, Freda
"H. ir O. Minkovskių g., 2 rooms flat for rent",750.0,14.3,52.52,2,2023.0,Brick,Fully equipped,Central thermostat,22.06,23,1.0, Aleksotas
"Hipodromo g., Room rent",250.0,4.1,60.26,1,1972.0,Block house,Fully equipped,Central,57.25,23,3.2, Aukštieji Šančiai
"S. Žukausko g., 3 rooms flat for rent",1200.0,17.1,70.0,3,2018.0,Brick,Fully equipped,"Central, central thermostat",30.10,23,8.9, Eiguliai
"A. Baranausko g., 3 rooms flat for rent",750.0,11.5,65.19,3,1978.0,Brick,Fully equipped,Central,56.06,23,4.8, Gričiupis
"R. Kalantos g., 2 rooms flat for rent",400.0,11.0,36.47,2,1974.0,Brick,Fully equipped,Central,37.93,23,9.1, Petrašiūnai
"Muravos g., 1 room flat for rent",690.0,19.7,35.0,1,,Brick,Fully equipped,Central thermostat,18.90,23,8.8, Kalniečiai
"Sąjungos a., 1 room flat for rent",300.0,23.1,13.0,1,,Brick,Fully equipped,Central,7.93,23,10.0, Vilijampolė
"Šiaurės pr., 3 rooms flat for rent",500.0,8.1,61.49,3,1977.0,Block house,Fully equipped,Central,63.33,23,12.7, Kalniečiai
"Šiaurės pr., 1 room flat for rent",400.0,11.1,36.0,1,1986.0,Monolithic,Fully equipped,Central,51.84,23,14.6, Eiguliai
"Sukilėlių pr., 2 rooms flat for rent",430.0,8.4,51.0,2,1989.0,Block house,Fully equipped,Central,nan,23,9.8, Eiguliai
"Šv. Gertrūdos g., 2 rooms flat for rent",650.0,10.8,60.0,2,,Brick,Fully equipped,Central,nan,23,16.4, Senamiestis
"Kiškių g., 3 rooms flat for rent",1100.0,12.5,88.0,3,2008.0,Brick,Fully equipped,Gas,nan,23,0.1, Vičiūnai
"Laisvės al., 3 rooms flat for rent",1000.0,14.3,70.0,3,1980.0,Brick,Fully equipped,Central,86.10,23,27.3, Centras
"Vytauto pr., 2 rooms flat for rent",650.0,9.3,70.0,2,2010.0,Brick,Fully equipped,Central thermostat,30.10,23,14.9, Centras
